Date,State,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-04-11,Alabama,Total,-39.0,3.0,11.0,-35.0,-29.0,10.0
2020-04-11,Alabama,Autauga County,-37.0,16.0,-14.0,,-30.0,20.0
2020-04-11,Alabama,Baldwin County,-44.0,-10.0,-42.0,-39.0,-28.0,11.0
2020-04-11,Alabama,Barbour County,-18.0,-20.0,,,-31.0,
2020-04-11,Alabama,Bibb County,-42.0,-15.0,,,-19.0,
2020-04-11,Alabama,Blount County,-20.0,18.0,,,-24.0,20.0
2020-04-11,Alabama,Bullock County,-22.0,-27.0,,,-33.0,
2020-04-11,Alabama,Butler County,-47.0,-9.0,,-57.0,-33.0,
2020-04-11,Alabama,Calhoun County,-40.0,1.0,-22.0,,-29.0,9.0
2020-04-11,Alabama,Chambers County,-35.0,-3.0,,-40.0,-32.0,15.0
2020-04-11,Alabama,Cherokee County,-41.0,-5.0,,,-18.0,
2020-04-11,Alabama,Chilton County,-28.0,11.0,,-30.0,-25.0,17.0
2020-04-11,Alabama,Choctaw County,-13.0,-19.0,,,-43.0,
2020-04-11,Alabama,Clarke County,-22.0,-29.0,,,-9.0,
2020-04-11,Alabama,Clay County,-43.0,-20.0,,,-41.0,
2020-04-11,Alabama,Cleburne County,-35.0,-13.0,,-42.0,-14.0,
2020-04-11,Alabama,Coffee County,-25.0,-2.0,,,-27.0,18.0
2020-04-11,Alabama,Colbert County,-27.0,11.0,-37.0,-23.0,-21.0,16.0
2020-04-11,Alabama,Conecuh County,-65.0,-10.0,,-41.0,-36.0,
2020-04-11,Alabama,Coosa County,,,,,-44.0,
2020-04-11,Alabama,Covington County,-30.0,6.0,,,-20.0,8.0
2020-04-11,Alabama,Crenshaw County,-58.0,-10.0,,,-33.0,
2020-04-11,Alabama,Cullman County,-39.0,13.0,38.0,-33.0,-28.0,9.0
2020-04-11,Alabama,Dale County,-32.0,0.0,,-39.0,-23.0,16.0
2020-04-11,Alabama,Dallas County,-30.0,7.0,,,-22.0,5.0
2020-04-11,Alabama,DeKalb County,-43.0,2.0,-4.0,-33.0,-16.0,17.0
2020-04-11,Alabama,Elmore County,-35.0,6.0,49.0,,-33.0,21.0
2020-04-11,Alabama,Escambia County,-32.0,-7.0,,,-28.0,7.0
2020-04-11,Alabama,Etowah County,-42.0,1.0,-23.0,-37.0,-30.0,8.0
2020-04-11,Alabama,Fayette County,-39.0,,,,-32.0,
2020-04-11,Alabama,Franklin County,-19.0,-15.0,,,-21.0,5.0
2020-04-11,Alabama,Geneva County,-42.0,14.0,,,-27.0,-2.0
2020-04-11,Alabama,Greene County,11.0,-29.0,,-47.0,-44.0,
2020-04-11,Alabama,Hale County,-41.0,-36.0,,,-29.0,
2020-04-11,Alabama,Henry County,-49.0,-19.0,,,-21.0,
2020-04-11,Alabama,Houston County,-45.0,-5.0,14.0,-35.0,-29.0,10.0
2020-04-11,Alabama,Jackson County,-40.0,14.0,,,-21.0,18.0
2020-04-11,Alabama,Jefferson County,-45.0,3.0,20.0,-35.0,-32.0,11.0
2020-04-11,Alabama,Lamar County,-32.0,0.0,,,-39.0,
2020-04-11,Alabama,Lauderdale County,-44.0,6.0,-15.0,,-29.0,8.0
2020-04-11,Alabama,Lawrence County,-41.0,-16.0,,,-22.0,7.0
2020-04-11,Alabama,Lee County,-49.0,-9.0,-14.0,,-32.0,12.0
2020-04-11,Alabama,Limestone County,-30.0,5.0,-1.0,,-24.0,10.0
2020-04-11,Alabama,Lowndes County,,,,-42.0,-54.0,
2020-04-11,Alabama,Macon County,-46.0,-5.0,,-54.0,-39.0,
2020-04-11,Alabama,Madison County,-46.0,-5.0,55.0,-37.0,-36.0,11.0
2020-04-11,Alabama,Marengo County,-26.0,5.0,,,-9.0,
2020-04-11,Alabama,Marion County,-43.0,-13.0,,,-32.0,
2020-04-11,Alabama,Marshall County,-34.0,7.0,94.0,,-28.0,8.0
2020-04-11,Alabama,Mobile County,-35.0,6.0,-33.0,-36.0,-28.0,12.0
2020-04-11,Alabama,Monroe County,-52.0,36.0,,,-24.0,
2020-04-11,Alabama,Montgomery County,-43.0,-2.0,0.0,4.0,-29.0,11.0
2020-04-11,Alabama,Morgan County,-37.0,11.0,49.0,-34.0,-31.0,9.0
2020-04-11,Alabama,Perry County,-58.0,-16.0,,,-44.0,
2020-04-11,Alabama,Pickens County,-36.0,9.0,,,-36.0,
2020-04-11,Alabama,Pike County,-31.0,-20.0,,,-34.0,0.0
2020-04-11,Alabama,Randolph County,-45.0,-7.0,,,-26.0,
2020-04-11,Alabama,Russell County,-30.0,48.0,,,-27.0,18.0
2020-04-11,Alabama,Shelby County,-41.0,-4.0,56.0,,-32.0,12.0
2020-04-11,Alabama,St. Clair County,-30.0,8.0,,-34.0,-26.0,9.0
2020-04-11,Alabama,Sumter County,-61.0,-11.0,,,-45.0,
2020-04-11,Alabama,Talladega County,-25.0,11.0,16.0,-30.0,-26.0,9.0
2020-04-11,Alabama,Tallapoosa County,-33.0,6.0,,,-31.0,18.0
2020-04-11,Alabama,Tuscaloosa County,-42.0,5.0,-10.0,-34.0,-35.0,12.0
2020-04-11,Alabama,Walker County,-31.0,7.0,,-39.0,-15.0,14.0
2020-04-11,Alabama,Washington County,,-16.0,,,-36.0,
2020-04-11,Alabama,Wilcox County,-61.0,,,,-44.0,
2020-04-11,Alabama,Winston County,-42.0,-12.0,,,-23.0,
2020-04-11,Alaska,Total,-41.0,-4.0,36.0,-52.0,-32.0,10.0
2020-04-11,Alaska,Anchorage,-45.0,-4.0,29.0,-54.0,-40.0,13.0
2020-04-11,Alaska,Bethel,,-23.0,,,-25.0,
2020-04-11,Alaska,Fairbanks North Star,-39.0,-10.0,,-72.0,-33.0,21.0
2020-04-11,Alaska,Juneau,-52.0,-24.0,-34.0,-56.0,-34.0,-1.0
2020-04-11,Alaska,Kenai Peninsula Borough,-34.0,-8.0,,,-24.0,14.0
2020-04-11,Alaska,Ketchikan Gateway,-32.0,-38.0,,,-37.0,
2020-04-11,Alaska,Kodiak Island,-50.0,,,,-27.0,
2020-04-11,Alaska,Matanuska-Susitna,-29.0,-2.0,,,-30.0,9.0
2020-04-11,Alaska,North Slope,,,,,-12.0,
2020-04-11,Alaska,Sitka,-59.0,,,,-29.0,
2020-04-11,Alaska,Southeast Fairbanks,,,,,-35.0,
2020-04-11,Alaska,Valdez-Cordova,,-12.0,,,-30.0,
2020-04-11,Arizona,Total,-43.0,-14.0,-42.0,-45.0,-36.0,14.0
2020-04-11,Arizona,Apache County,-80.0,-54.0,-59.0,-35.0,-34.0,16.0
2020-04-11,Arizona,Cochise County,-41.0,-18.0,-44.0,-35.0,-34.0,11.0
2020-04-11,Arizona,Coconino County,-65.0,-32.0,-46.0,-42.0,-42.0,18.0
2020-04-11,Arizona,Gila County,-26.0,16.0,41.0,,-27.0,12.0
2020-04-11,Arizona,Graham County,-29.0,12.0,,,-19.0,11.0
2020-04-11,Arizona,Greenlee County,-65.0,-13.0,,,-37.0,
2020-04-11,Arizona,La Paz County,-62.0,-39.0,-67.0,-51.0,-21.0,
2020-04-11,Arizona,Maricopa County,-42.0,-13.0,-41.0,-46.0,-37.0,14.0
2020-04-11,Arizona,Mohave County,-37.0,-5.0,-27.0,-26.0,-36.0,10.0
2020-04-11,Arizona,Navajo County,-39.0,-23.0,5.0,-24.0,-30.0,14.0
2020-04-11,Arizona,Pima County,-47.0,-14.0,-52.0,-48.0,-39.0,14.0
2020-04-11,Arizona,Pinal County,-33.0,-16.0,-45.0,-45.0,-31.0,12.0
2020-04-11,Arizona,Santa Cruz County,-58.0,-43.0,-62.0,-27.0,-36.0,22.0
2020-04-11,Arizona,Yavapai County,-43.0,-6.0,-32.0,-38.0,-37.0,11.0
2020-04-11,Arizona,Yuma County,-51.0,-23.0,-53.0,-60.0,-34.0,16.0
2020-04-11,Arkansas,Total,-35.0,1.0,1.0,-34.0,-26.0,10.0
2020-04-11,Arkansas,Arkansas County,-23.0,8.0,,,-24.0,
2020-04-11,Arkansas,Ashley County,-32.0,6.0,,,-13.0,
2020-04-11,Arkansas,Baxter County,-34.0,18.0,,,-22.0,13.0
2020-04-11,Arkansas,Benton County,-42.0,-7.0,21.0,-62.0,-32.0,12.0
2020-04-11,Arkansas,Boone County,-30.0,5.0,,,-35.0,16.0
2020-04-11,Arkansas,Bradley County,-40.0,-7.0,,,-42.0,
2020-04-11,Arkansas,Carroll County,-42.0,-3.0,,,-43.0,-1.0
2020-04-11,Arkansas,Chicot County,-22.0,4.0,,,-35.0,
2020-04-11,Arkansas,Clark County,-26.0,-4.0,,-37.0,-13.0,
2020-04-11,Arkansas,Clay County,-10.0,-2.0,,,-36.0,
2020-04-11,Arkansas,Cleburne County,-48.0,43.0,,,-27.0,
2020-04-11,Arkansas,Cleveland County,,,,,-40.0,
2020-04-11,Arkansas,Columbia County,-20.0,-11.0,,,-21.0,
2020-04-11,Arkansas,Conway County,-25.0,2.0,,-18.0,-21.0,
2020-04-11,Arkansas,Craighead County,-44.0,-6.0,-59.0,-14.0,-26.0,9.0
2020-04-11,Arkansas,Crawford County,-16.0,6.0,,-4.0,-20.0,15.0
2020-04-11,Arkansas,Crittenden County,-29.0,10.0,,-27.0,-25.0,19.0
2020-04-11,Arkansas,Cross County,-55.0,93.0,,,-7.0,
2020-04-11,Arkansas,Dallas County,-25.0,,,,-25.0,
2020-04-11,Arkansas,Desha County,-22.0,11.0,,,-41.0,
2020-04-11,Arkansas,Drew County,-27.0,5.0,,,-27.0,
2020-04-11,Arkansas,Faulkner County,-44.0,-11.0,-2.0,,-28.0,11.0
2020-04-11,Arkansas,Franklin County,-10.0,-3.0,,-22.0,-20.0,
2020-04-11,Arkansas,Fulton County,,,,,-31.0,
2020-04-11,Arkansas,Garland County,-41.0,0.0,-43.0,,-34.0,11.0
2020-04-11,Arkansas,Grant County,-6.0,6.0,,,-16.0,
2020-04-11,Arkansas,Greene County,-21.0,5.0,,,-23.0,15.0
2020-04-11,Arkansas,Hempstead County,-33.0,-3.0,,,-25.0,
2020-04-11,Arkansas,Hot Spring County,-16.0,21.0,,-37.0,-19.0,8.0
2020-04-11,Arkansas,Howard County,-36.0,4.0,,,-24.0,
